Question,Answer,Chapter
Who was Jonah's father?,"Amittai, Jonah 1:1",1
What son of Amittai did the word of the Lord come unto?,"Jonah, Jonah 1:1",1
"Bonus for 20: Arise, go to ___, that great ___, and ___ against it, for their ___ is come up before me.","Nineveh, city, cry, wickedness, Jonah 1:2",1
What was described as a great city in Jonah 1?,"Nineveh, Jonah 1:2",1
What did the Lord tell Jonah to do against Nineveh because of their wickedness?,"cry, Jonah 1:2",1
What of Nineveh did the Lord say is come up before me?,"their wickedness, Jonah 1:2",1
FIB with one blank: But Jonah rose up to flee unto ___ from the presence of the Lord.,"Tarshish, Jonah 1:3",1
"Jonah, intending to flee Tarshish, went down to what city?","Joppa, Jonah 1:3",1
"Be specific, what did Jonah find in Joppa?","a ship going to Tarshish, Jonah 1:3",1
Jonah found a ship going to Tarshish and did what before he went down into it?,"paid the fare, Jonah 1:3",1
"Jonah rose up to flee unto Tarshish, from what was he fleeing?","the presence of the Lord, Jonah 1:3",1
"Bonus for 20: But the Lord sent out a ___ ___ into the sea, and there was a ___ ___ in the sea, so that the ship was like to be broken.","great, wind, mighty, tempest, Jonah 1:4",1
What did the Lord send out into the sea so that the ship was like to be broken?,"a great wind, Jonah 1:4",1
What was there in the sea so that the ship was like to be broken?,"a mighty tempst, Jonah 1:4",1
How was the ship affected by the great wind and mighty tempest in Jonah 1:4?,"it was like to be broken, Jonah 1:4",1
"Who was afraid, and cried every man unto his god?","the mariners, Jonah 1:5",1
What did the mariners cast from their ship into the sea when they were afraid?,"the wares (that were in the ship), Jonah 1:5",1
"The mariners were afraid, in what way did they cry?","every man unto his god, Jonah 1:5",1
Why were wares cast from the ship in Jonah chapter 1?,"to lighten it (of them), Jonah 1:5",1
"Who was gone down into the sides of the ship, fast asleep?","Jonah, Jonah 1:5",1
"Be specific, in what state was Jonah as he lay in the sides of the ship?","fast asleep, Jonah 1:5",1
Where in the ship did Jonah lay fast asleep?,"the sides, Jonah 1:5",1
"Bonus for 20: FIB: Then the ___ were ___, and cried every man unto his god, and cast forth the ___ that were in teh ship into the sea, to ___ it of them.","mariners, afraid, wares, lighten, Jonah 1:5",1
"Who said the following: ""What meanest thou, O sleeper?""","the shipmaster, Jonah 1:6",1
Who came to Jonah as he lay fast asleep?,"the shipmaster, Jonah 1:6",1
"When the shipmaster first spoke to Jonah, how did he refer to Jonah?","O sleeper, Jonah 1:6",1
Who did the shipmaster tell Jonah to call upon?,"thy God, Jonah 1:6",1
Bonus for 10: For what reason did the shipmaster say Jonah should call upon his God?,"if so be that God will think upon us, that we perish not, Jonah 1:6",1
"Bonus for 15: Arise, call upon thy God, if so be that God will ___ upon us, that we ___ ___.","think, perish, not, Jonah 1:6",1
"FIB with one blank: And they said every one unto his ___, Come and let us cast lots.","fellow, Jonah 1:7",1
Why did the men on the ship say they should cast lots?,"that we may know for whose cause this evil is upon us, Jonah 1:7",1
"Bonus for 20: So they ___ ___, and the ___ ___ upon Jonah.","cast, lots, lot, fell, Jonah 1:7",1
"FIB with one blank: Tell us, we pray thee, for whose cause this ___ is upon us.","evil, Jonah 1:8",1
"Bonus for 20: After asking Jonah for whose cause this evil is upon them, what four questions did the men on the ship ask Jonah?","What is thine occupation? and whence comest thou? what is thy country? and of what people art thou?, Jonah 1:8",1
"Who said the following: ""I am an Hebrew, and I fear the Lord, the God of heave, which hath made the sea and the dry land.""","Jonah, Jonah 1:9",1
What did Jonah say the Lord hath made?,"the sea and the dry land, Jonah 1:9",1
"In Jonah 1:9, Jonah called the Lord the God of what?","heaven, Jonah 1:9",1
"In what emotional state were the men as they asked Jonah, ""Why hast thou done this""?","exceedingly afraid, Jonah 1:10",1
How did the men know that Jonah fled the presence of the Lord?,"he told them, Jonah 1:10",1
"The men were exceedingly afraid, what did they ask Jonah because they knew he fled the presence of the Lord?","Why hast thou done this?, Jonah 1:10",1
"As the men asked Jonah what they should do unto him, how was the sea described?","the sea wrought and was tempestuous, Jonah 1:11",1
The men asked Jonah what they shall do unto him so that what may happen?,"the sea may be calm unto us, Jonah 1:11",1
"Bonus for 25: ___ me up, and ___ me forth into the ___, so shall the ___ be ___ unto you.","take, cast, sea, sea, calm, Jonah 1:12",1
Jonah said to take him up and do what to him?,"cast him forth into the sea, Jonah 1:12",1
"Be specific, Jonah said he knew that what was upon the men on the ship for his sake?","(this) great tempest, Jonah 1:12",1
"Nevertheless, the men did what instead of casting Jonah into the sea?","rowed hard to bring it to the land, Jonah 1:13",1
How did the men row to bring the ship to the land?,"hard, Jonah 1:13",1
The men rowed hard but could not bring the ship to the land for what reason?,"the sea wrought and was tempestuous (against them), Jonah 1:13",1
"FIB with the same word: Wherefore they cried unto the Lord, and said, We ___ thee, O Lord, we ___ thee.","beseech, Jonah 1:14",1
"As they cried unto the Lord, what did the men say should not be laid upon them?","innocent blood, Jonah 1:14",1
"Bonus for 15: FIB: Let us not ___ for this ___ ___, and lay not upon us innocent blood.","perish, man's, life, Jonah 1:14",1
"FIB with one word from Jonah 1: For thou, O Lord, hast done as it ___ thee.","pleased, Jonah 1:14",1
"Finish the verse: So they took up Jonah, and cast him forth into the sea...","and the sea ceased from her raging, Jonah 1:15",1
Bonus for 10: FIB: And the ___ ceased from her ___.,"sea, raging, Jonah 1:15",1
"Be specific, what did the sea do when Jonah was cast forth into it?","ceased from her raging, Jonah 1:15",1
How did the men feel about the Lord after casting Jonah into the sea?,"feared the Lord exceedingly, Jonah 1:16",1
"Bonus for 10: In Jonah 1, the men feared the Lord exceedingly, what two things did they do?","offered a sacrifice unto the Lord, made vows, Jonah 1:16",1
What did the men make after the sea ceased from her raging?,"vows, Jonah 1:16",1
"In Jonah 1:17, what did the Lord prepare?","a great fish (to swallow up Jonah), Jonah 1:17",1
FIB with one blank: Now the Lord ___ a great fish to swallow up Jonah.,"prepared, Jonah 1:17",1
Where was Jonah for three days and night?,"the belly of the fish, Jonah 1:17",1
For how long was Jonah in the belly of the fish?,"three days and three nights, Jonah 1:17",1
